target	set	yes	no
92	19,73	4	5
93	19,73	9	3
94	19,73	2	8
95	19,73	7	8
96	19,73	1	9
97	19,73	8	2
98	19,73	4	9
99	19,73	9	5
100	19,73	1	10
1	2	3	7
2	2	8	1
3	2	3	8
4	2	8	2
5	2	3	8
6	2	5	4
7	2	0	9
8	2	8	3
9	2	1	9
10	2	7	2
11	2	3	7
12	2	5	5
13	2	0	9
14	2	7	3
15	2	0	10
16	2	6	3
17	2	1	9
18	2	8	3
19	2	1	8
20	2	7	2
21	2	1	8
22	2	10	1
23	2	1	9
24	2	7	2
25	2	0	9
26	2	7	3
27	2	1	8
28	2	7	2
29	2	2	8
30	2	4	5
31	2	0	10
32	2	7	2
33	2	1	9
34	2	5	6
35	2	1	9
36	2	6	3
37	2	1	8
38	2	7	2
39	2	3	7
40	2	7	5
41	2	1	8
42	2	6	3
43	2	1	9
44	2	8	3
45	2	0	10
46	2	4	6
47	2	2	9
48	2	7	2
49	2	0	14
50	2	4	5
51	2	0	10
52	2	7	3
53	2	1	8
54	2	3	9
55	2	2	11
56	2	7	2
57	2	1	10
58	2	6	3
59	2	2	10
60	2	5	4
61	2	1	8
62	2	6	4
63	2	1	9
64	2	5	4
65	2	2	7
66	2	5	4
67	2	2	7
68	2	8	3
69	2	1	8
70	2	6	7
71	2	0	9
72	2	6	6
73	2	1	9
74	2	4	5
75	2	0	10
76	2	6	3
77	2	2	7
78	2	4	6
79	2	2	7
80	2	6	4
81	2	1	13
82	2	4	5
83	2	2	8
84	2	5	4
85	2	1	8
86	2	7	4
87	2	1	9
88	2	5	5
89	2	1	8
90	2	5	5
91	2	1	8
92	2	8	1
93	2	0	11
94	2	7	2
95	2	1	9
96	2	3	6
97	2	2	8
98	2	7	3
99	2	1	10
100	2	7	3
1	2,47	7	7
2	2,47	13	3
3	2,47	5	4
4	2,47	5	5
5	2,47	4	9
6	2,47	7	6
7	2,47	5	7
8	2,47	4	5
9	2,47	7	6
10	2,47	3	7
11	2,47	4	5
12	2,47	3	6
13	2,47	5	7
14	2,47	4	5
15	2,47	1	11
16	2,47	5	4
17	2,47	7	2
18	2,47	4	7
19	2,47	3	6
20	2,47	3	7
21	2,47	4	5
22	2,47	6	4
23	2,47	5	7
24	2,47	6	4
25	2,47	4	5
26	2,47	1	9
27	2,47	11	2
28	2,47	5	6
29	2,47	3	7
30	2,47	3	6
31	2,47	5	5
32	2,47	5	4
33	2,47	2	7
34	2,47	5	4
35	2,47	4	5
36	2,47	5	6
37	2,47	4	5
38	2,47	3	8
39	2,47	6	7
40	2,47	3	7
41	2,47	4	5
42	2,47	6	3
43	2,47	3	6
44	2,47	10	5
45	2,47	4	12
46	2,47	4	8
47	2,47	8	3
48	2,47	6	5
49	2,47	3	6
50	2,47	6	5
51	2,47	4	6
52	2,47	3	10
53	2,47	4	6
54	2,47	3	8
55	2,47	4	10
56	2,47	3	8
57	2,47	9	5
58	2,47	2	7
59	2,47	3	6
60	2,47	2	10
61	2,47	1	8
62	2,47	2	9
63	2,47	3	7
64	2,47	2	7
65	2,47	1	10
66	2,47	1	13
67	2,47	6	3
68	2,47	2	7
69	2,47	3	8
70	2,47	0	10
71	2,47	4	7
72	2,47	3	8
73	2,47	1	9
74	2,47	2	7
75	2,47	2	8
76	2,47	3	9
77	2,47	3	11
78	2,47	4	7
79	2,47	4	5
80	2,47	0	9
81	2,47	3	7
82	2,47	7	7
83	2,47	0	9
84	2,47	6	10
85	2,47	2	7
86	2,47	1	10
87	2,47	2	7
88	2,47	3	10
89	2,47	1	8
90	2,47	3	11
91	2,47	2	8
92	2,47	2	8
93	2,47	4	5
94	2,47	3	9
95	2,47	3	9
96	2,47	3	12
97	2,47	4	6
98	2,47	3	11
99	2,47	1	8
100	2,47	2	8
1	2,8	2	11
2	2,8	6	3
3	2,8	4	8
4	2,8	7	2
5	2,8	2	14
6	2,8	7	3
7	2,8	3	6
8	2,8	6	3
9	2,8	2	7
10	2,8	10	2
11	2,8	2	7
12	2,8	8	2
13	2,8	0	11
14	2,8	3	6
15	2,8	2	8
16	2,8	5	5
17	2,8	1	8
18	2,8	5	6
19	2,8	0	11
20	2,8	7	5
21	2,8	1	8
22	2,8	6	4
23	2,8	0	13
24	2,8	5	4
25	2,8	1	8
26	2,8	9	3
27	2,8	1	8
28	2,8	9	4
29	2,8	0	9
30	2,8	5	7
31	2,8	0	9
32	2,8	4	5
33	2,8	0	11
34	2,8	6	3
35	2,8	1	9
36	2,8	2	7
37	2,8	1	8
38	2,8	2	8
39	2,8	0	14
40	2,8	4	5
41	2,8	0	9
42	2,8	10	2
43	2,8	0	11
44	2,8	6	5
45	2,8	1	10
46	2,8	5	4
47	2,8	0	9
48	2,8	5	5
49	2,8	1	8
50	2,8	4	7
51	2,8	0	9
52	2,8	6	6
53	2,8	1	11
54	2,8	1	8
55	2,8	0	12
56	2,8	4	5
57	2,8	0	9
58	2,8	1	8
59	2,8	0	14
60	2,8	7	4
61	2,8	0	11
62	2,8	5	6
63	2,8	0	9
64	2,8	6	7
65	2,8	1	10
66	2,8	4	5
67	2,8	2	9
68	2,8	4	5
69	2,8	0	11
70	2,8	3	8
71	2,8	0	10
72	2,8	5	6
73	2,8	0	12
74	2,8	2	7
75	2,8	0	11
76	2,8	5	7
77	2,8	0	10
78	2,8	6	6
79	2,8	0	11
80	2,8	4	7
81	2,8	1	10
82	2,8	4	10
83	2,8	1	8
84	2,8	3	7
85	2,8	0	9
86	2,8	2	7
87	2,8	0	9
88	2,8	6	6
89	2,8	1	13
90	2,8	1	8
91	2,8	0	13
92	2,8	5	5
93	2,8	1	9
94	2,8	4	5
95	2,8	1	11
96	2,8	1	8
97	2,8	0	10
98	2,8	7	4
99	2,8	1	11
100	2,8	7	4
1	20,32,92	2	13
2	20,32,92	4	6
3	20,32,92	0	9
4	20,32,92	6	4
5	20,32,92	1	9
6	20,32,92	3	7
7	20,32,92	0	11
8	20,32,92	8	7
9	20,32,92	0	10
10	20,32,92	6	4
11	20,32,92	0	11
12	20,32,92	8	5
13	20,32,92	1	10
14	20,32,92	4	8
15	20,32,92	0	10
16	20,32,92	7	2
17	20,32,92	1	9
18	20,32,92	6	4
19	20,32,92	1	9
20	20,32,92	8	2
21	20,32,92	2	11
22	20,32,92	7	2
23	20,32,92	2	9
24	20,32,92	7	3
25	20,32,92	1	8
26	20,32,92	7	6
27	20,32,92	2	8
28	20,32,92	6	4
29	20,32,92	4	10
30	20,32,92	6	4
31	20,32,92	2	9
32	20,32,92	8	2
33	20,32,92	1	8
34	20,32,92	8	3
35	20,32,92	1	9
36	20,32,92	8	2
37	20,32,92	2	10
38	20,32,92	7	7
39	20,32,92	1	9
40	20,32,92	5	5
41	20,32,92	0	10
42	20,32,92	5	4
43	20,32,92	2	8
44	20,32,92	5	4
45	20,32,92	0	11
46	20,32,92	5	4
47	20,32,92	1	14
48	20,32,92	4	8
49	20,32,92	0	10
50	20,32,92	7	4
51	20,32,92	1	9
52	20,32,92	8	4
53	20,32,92	0	12
54	20,32,92	7	5
55	20,32,92	0	11
56	20,32,92	7	4
57	20,32,92	3	8
58	20,32,92	6	4
59	20,32,92	0	11
60	20,32,92	7	7
61	20,32,92	2	11
62	20,32,92	7	3
63	20,32,92	0	9
64	20,32,92	6	8
65	20,32,92	1	10
66	20,32,92	6	4
67	20,32,92	1	10
68	20,32,92	7	6
69	20,32,92	1	8
70	20,32,92	6	5
71	20,32,92	0	10
72	20,32,92	8	2
73	20,32,92	1	11
74	20,32,92	7	4
75	20,32,92	1	12
76	20,32,92	6	4
77	20,32,92	0	12
78	20,32,92	9	3
79	20,32,92	2	10
80	20,32,92	6	3
81	20,32,92	2	9
82	20,32,92	7	3
83	20,32,92	0	10
84	20,32,92	6	5
85	20,32,92	1	11
86	20,32,92	7	8
87	20,32,92	1	10
88	20,32,92	6	4
89	20,32,92	1	14
90	20,32,92	6	4
91	20,32,92	1	10
92	20,32,92	7	6
93	20,32,92	2	14
94	20,32,92	5	4
95	20,32,92	2	16
96	20,32,92	9	1
97	20,32,92	1	12
98	20,32,92	6	4
99	20,32,92	1	11
100	20,32,92	7	2
1	20,8,84,100	1	8
2	20,8,84,100	8	5
3	20,8,84,100	3	7
4	20,8,84,100	7	2
5	20,8,84,100	2	12
6	20,8,84,100	5	4
7	20,8,84,100	0	9
8	20,8,84,100	8	2
9	20,8,84,100	3	6
10	20,8,84,100	6	3
11	20,8,84,100	2	9
12	20,8,84,100	7	3
13	20,8,84,100	2	11
14	20,8,84,100	4	6
15	20,8,84,100	1	10
16	20,8,84,100	9	3
17	20,8,84,100	1	14
18	20,8,84,100	7	3
19	20,8,84,100	0	9
20	20,8,84,100	9	1
21	20,8,84,100	1	9
22	20,8,84,100	6	3
23	20,8,84,100	0	9
24	20,8,84,100	10	2
25	20,8,84,100	0	9
26	20,8,84,100	5	6
27	20,8,84,100	2	8
28	20,8,84,100	9	0
29	20,8,84,100	1	9
30	20,8,84,100	6	3
31	20,8,84,100	0	10
32	20,8,84,100	4	6
33	20,8,84,100	0	9
34	20,8,84,100	3	6
35	20,8,84,100	2	12
36	20,8,84,100	6	4
37	20,8,84,100	0	9
38	20,8,84,100	5	6
39	20,8,84,100	0	10
40	20,8,84,100	10	2
41	20,8,84,100	0	14
42	20,8,84,100	10	5
43	20,8,84,100	2	8
44	20,8,84,100	8	1
45	20,8,84,100	1	10
46	20,8,84,100	4	5
47	20,8,84,100	1	9
48	20,8,84,100	7	3
49	20,8,84,100	1	12
50	20,8,84,100	5	5
51	20,8,84,100	0	9
52	20,8,84,100	6	3
53	20,8,84,100	0	13
54	20,8,84,100	11	2
55	20,8,84,100	1	8
56	20,8,84,100	6	3
57	20,8,84,100	2	9
58	20,8,84,100	5	4
59	20,8,84,100	1	9
60	20,8,84,100	7	4
61	20,8,84,100	0	9
62	20,8,84,100	5	5
63	20,8,84,100	1	8
64	20,8,84,100	8	3
65	20,8,84,100	1	8
66	20,8,84,100	6	4
67	20,8,84,100	0	10
68	20,8,84,100	7	3
69	20,8,84,100	1	9
70	20,8,84,100	7	3
71	20,8,84,100	2	9
72	20,8,84,100	11	4
73	20,8,84,100	1	8
74	20,8,84,100	5	5
75	20,8,84,100	2	15
76	20,8,84,100	7	5
77	20,8,84,100	1	8
78	20,8,84,100	4	6
79	20,8,84,100	2	8
80	20,8,84,100	13	0
81	20,8,84,100	3	8
82	20,8,84,100	6	3
83	20,8,84,100	1	9
84	20,8,84,100	6	3
85	20,8,84,100	2	9
86	20,8,84,100	7	3
87	20,8,84,100	0	12
88	20,8,84,100	9	2
89	20,8,84,100	0	11
90	20,8,84,100	9	2
91	20,8,84,100	0	10
92	20,8,84,100	5	4
93	20,8,84,100	1	8
94	20,8,84,100	4	5
95	20,8,84,100	2	9
96	20,8,84,100	10	1
97	20,8,84,100	2	10
98	20,8,84,100	7	3
99	20,8,84,100	1	9
100	20,8,84,100	9	3
1	21,71	10	0
2	21,71	0	9
3	21,71	1	14
4	21,71	0	12
5	21,71	0	10
6	21,71	0	9
7	21,71	1	13
8	21,71	0	11
9	21,71	0	11
10	21,71	0	9
11	21,71	8	1
12	21,71	2	9
13	21,71	1	8
14	21,71	0	9
15	21,71	2	10
16	21,71	1	10
17	21,71	1	8
18	21,71	0	9
19	21,71	1	8
20	21,71	0	10
21	21,71	8	2
22	21,71	1	8
23	21,71	1	8
24	21,71	2	7
25	21,71	3	9
26	21,71	1	8
27	21,71	2	15
28	21,71	3	11
29	21,71	1	11
30	21,71	1	11
31	21,71	10	1
32	21,71	2	7
33	21,71	1	11
34	21,71	1	12
35	21,71	1	8
36	21,71	1	8
37	21,71	1	12
38	21,71	2	9
39	21,71	0	11
40	21,71	1	8
41	21,71	10	2
42	21,71	0	9
43	21,71	1	11
44	21,71	0	9
45	21,71	1	8
46	21,71	1	9
47	21,71	0	10
48	21,71	0	12
49	21,71	0	10
50	21,71	1	9
51	21,71	10	1
52	21,71	1	8
53	21,71	2	11
54	21,71	1	10
55	21,71	1	9
56	21,71	0	10
57	21,71	2	10
58	21,71	1	9
59	21,71	1	10
60	21,71	0	11
61	21,71	10	1
62	21,71	1	8
63	21,71	1	9
64	21,71	0	9
65	21,71	1	9
66	21,71	3	8
67	21,71	2	9
68	21,71	0	10
69	21,71	2	7
70	21,71	1	8
71	21,71	7	3
72	21,71	1	10
73	21,71	0	9
74	21,71	0	10
75	21,71	2	10
76	21,71	1	8
77	21,71	1	8
78	21,71	0	14
79	21,71	1	9
80	21,71	0	12
81	21,71	6	4
82	21,71	0	9
83	21,71	0	10
84	21,71	0	10
85	21,71	0	9
86	21,71	1	16
87	21,71	1	9
88	21,71	1	9
89	21,71	1	8
90	21,71	0	11
91	21,71	8	1
92	21,71	0	10
93	21,71	0	9
94	21,71	0	14
95	21,71	0	9
96	21,71	1	8
97	21,71	0	10
98	21,71	0	10
99	21,71	0	11
100	21,71	0	10
1	22	3	6
2	22	5	6
3	22	0	11
4	22	7	2
5	22	1	10
6	22	6	4
7	22	0	13
8	22	8	3
9	22	1	11
10	22	3	8
11	22	8	3
12	22	9	4
13	22	1	9
14	22	4	6
15	22	1	11
16	22	4	6
17	22	2	10
18	22	6	4
19	22	1	9
20	22	7	2
21	22	0	9
22	22	10	2
23	22	1	9
24	22	7	3
25	22	0	9
26	22	8	2
27	22	2	9
28	22	9	1
29	22	1	9
30	22	4	5
31	22	1	9
32	22	8	2
33	22	6	4
34	22	5	5
35	22	0	10
36	22	8	2
37	22	1	9
38	22	5	4
39	22	1	9
40	22	6	5
41	22	0	10
42	22	6	3
43	22	0	9
44	22	8	1
45	22	3	7
46	22	7	3
47	22	1	8
48	22	6	4
49	22	2	8
50	22	4	5
51	22	1	9
52	22	7	3
53	22	0	10
54	22	6	4
55	22	4	6
56	22	5	4
57	22	1	8
58	22	5	4
59	22	4	8
60	22	6	3
61	22	1	10
62	22	9	1
63	22	4	5
64	22	6	4
65	22	2	8
66	22	9	2
67	22	1	8
68	22	5	9
69	22	1	8
70	22	7	6
71	22	1	9
72	22	5	5
73	22	1	9
74	22	7	2
75	22	2	8
76	22	5	5
77	22	5	5
78	22	8	5
79	22	1	8
80	22	6	4
81	22	1	9
82	22	8	4
83	22	0	10
84	22	7	2
85	22	0	9
86	22	3	8
87	22	0	11
88	22	7	3
89	22	3	8
90	22	3	7
91	22	2	7
92	22	8	3
93	22	1	8
94	22	5	6
95	22	2	9
96	22	3	7
97	22	1	9
98	22	4	6
99	22	2	8
100	22	7	4
1	22,62,26,82	0	10
2	22,62,26,82	6	3
3	22,62,26,82	1	9
4	22,62,26,82	3	8
5	22,62,26,82	1	8
6	22,62,26,82	4	5
7	22,62,26,82	0	10
8	22,62,26,82	2	7
9	22,62,26,82	1	10
10	22,62,26,82	2	7
11	22,62,26,82	0	9
12	22,62,26,82	6	4
13	22,62,26,82	0	9
14	22,62,26,82	2	7
15	22,62,26,82	0	11
16	22,62,26,82	3	9
17	22,62,26,82	2	8
18	22,62,26,82	3	7
19	22,62,26,82	0	9
20	22,62,26,82	3	7
21	22,62,26,82	1	10
22	22,62,26,82	7	2
23	22,62,26,82	2	9
24	22,62,26,82	6	5
25	22,62,26,82	1	11
26	22,62,26,82	5	4
27	22,62,26,82	2	8
28	22,62,26,82	6	4
29	22,62,26,82	2	8
30	22,62,26,82	3	6
31	22,62,26,82	3	12
32	22,62,26,82	9	2
33	22,62,26,82	3	8
34	22,62,26,82	6	4
35	22,62,26,82	2	8
36	22,62,26,82	5	4
37	22,62,26,82	0	11
38	22,62,26,82	3	8
39	22,62,26,82	1	9
40	22,62,26,82	3	6
41	22,62,26,82	2	8
42	22,62,26,82	4	5
43	22,62,26,82	0	13
44	22,62,26,82	4	7
45	22,62,26,82	2	8
46	22,62,26,82	2	8
47	22,62,26,82	0	14
48	22,62,26,82	5	5
49	22,62,26,82	2	10
50	22,62,26,82	3	6
51	22,62,26,82	0	9
52	22,62,26,82	7	3
53	22,62,26,82	1	8
54	22,62,26,82	5	8
55	22,62,26,82	0	9
56	22,62,26,82	4	5
57	22,62,26,82	0	12
58	22,62,26,82	4	7
59	22,62,26,82	1	8
60	22,62,26,82	6	4
61	22,62,26,82	2	9
62	22,62,26,82	6	3
63	22,62,26,82	1	8
64	22,62,26,82	4	6
65	22,62,26,82	3	7
66	22,62,26,82	5	5
67	22,62,26,82	2	9
68	22,62,26,82	6	7
69	22,62,26,82	0	11
70	22,62,26,82	3	7
71	22,62,26,82	0	11
72	22,62,26,82	8	2
73	22,62,26,82	2	8
74	22,62,26,82	3	7
75	22,62,26,82	3	10
76	22,62,26,82	5	4
77	22,62,26,82	3	7
78	22,62,26,82	3	6
79	22,62,26,82	1	9
80	22,62,26,82	5	5
81	22,62,26,82	1	8
82	22,62,26,82	7	4
83	22,62,26,82	1	9
84	22,62,26,82	6	6
85	22,62,26,82	1	9
86	22,62,26,82	7	2
87	22,62,26,82	1	9
88	22,62,26,82	5	5
89	22,62,26,82	1	8
90	22,62,26,82	1	9
91	22,62,26,82	0	10
92	22,62,26,82	5	4
93	22,62,26,82	0	9
94	22,62,26,82	2	10
95	22,62,26,82	0	10
96	22,62,26,82	4	5
97	22,62,26,82	0	11
98	22,62,26,82	2	7
99	22,62,26,82	0	11
100	22,62,26,82	3	7
1	22,96	1	9
2	22,96	7	2
3	22,96	1	9
4	22,96	6	4
5	22,96	2	11
6	22,96	7	4
7	22,96	1	9
8	22,96	7	4
9	22,96	1	8
10	22,96	4	6
11	22,96	1	8
12	22,96	7	3
13	22,96	2	15
14	22,96	8	2
15	22,96	1	10
16	22,96	7	3
17	22,96	0	9
18	22,96	10	2
19	22,96	1	9
20	22,96	6	4
21	22,96	3	7
22	22,96	10	1
23	22,96	3	8
24	22,96	5	5
25	22,96	2	8
26	22,96	10	3
27	22,96	2	7
28	22,96	4	6
29	22,96	0	11
30	22,96	7	2
31	22,96	1	8
32	22,96	8	3
33	22,96	5	7
34	22,96	7	2
35	22,96	1	9
36	22,96	11	2
37	22,96	1	9
38	22,96	6	3
39	22,96	2	8
40	22,96	6	3
41	22,96	3	10
42	22,96	9	1
43	22,96	2	15
44	22,96	6	4
45	22,96	4	9
46	22,96	9	5
47	22,96	1	9
48	22,96	6	3
49	22,96	3	11
50	22,96	5	5
51	22,96	0	9
52	22,96	6	4
53	22,96	2	8
54	22,96	9	3
55	22,96	2	11
56	22,96	11	3
57	22,96	1	10
58	22,96	7	2
59	22,96	2	7
60	22,96	7	2
61	22,96	0	11
62	22,96	10	3
63	22,96	1	9
64	22,96	7	3
65	22,96	2	9
66	22,96	8	1
67	22,96	1	13
68	22,96	10	2
69	22,96	2	13
70	22,96	5	4
71	22,96	1	9
72	22,96	10	0
73	22,96	0	10
74	22,96	8	3
75	22,96	0	9
76	22,96	6	4
77	22,96	2	9
78	22,96	8	1
79	22,96	0	16
80	22,96	4	5
81	22,96	1	10
82	22,96	9	4
83	22,96	2	9
84	22,96	9	3
85	22,96	4	5
86	22,96	10	2
87	22,96	1	8
88	22,96	7	3
89	22,96	0	10
90	22,96	6	3
91	22,96	0	10
92	22,96	9	3
93	22,96	1	9
94	22,96	8	4
95	22,96	2	10
96	22,96	8	3
97	22,96	0	10
98	22,96	8	5
99	22,96	2	10
100	22,96	10	0
1	23	5	4
2	23	1	12
3	23	6	3
4	23	3	9
5	23	9	5
6	23	0	13
7	23	3	9
8	23	3	8
9	23	7	5
10	23	3	7
11	23	9	6
12	23	2	8
13	23	4	6
14	23	2	8
15	23	5	8
16	23	1	9
17	23	6	3
18	23	5	5
19	23	4	7
20	23	4	7
21	23	9	5
22	23	3	9
23	23	8	3
24	23	4	7
25	23	5	6
26	23	5	6
27	23	6	3
28	23	5	5
29	23	9	7
30	23	2	8
31	23	9	5
32	23	4	6
33	23	7	2
34	23	2	9
35	23	8	4
36	23	4	6
37	23	4	5
38	23	0	10
39	23	5	5
40	23	2	11
41	23	6	8
42	23	2	8
43	23	11	2
44	23	3	9
45	23	3	6
46	23	6	3
47	23	4	7
48	23	4	12
49	23	4	6
50	23	2	10
51	23	7	4
52	23	2	8
53	23	7	2
54	23	1	8
55	23	5	6
56	23	4	6
57	23	7	5
58	23	2	7
59	23	8	2
60	23	3	8
61	23	5	4
62	23	3	7
63	23	7	2
64	23	2	8
65	23	6	3
66	23	5	10
67	23	8	3
68	23	3	6
69	23	7	6
70	23	2	11
71	23	7	7
72	23	3	8
73	23	4	5
74	23	1	11
75	23	5	8
76	23	1	9
77	23	5	6
78	23	2	8
79	23	3	6
80	23	2	7
81	23	3	6
82	23	2	8
83	23	9	2
84	23	5	10
85	23	4	6
86	23	2	11
87	23	5	4
88	23	1	10
89	23	7	4
90	23	2	8
91	23	5	8
92	23	1	9
93	23	11	6
94	23	2	8
95	23	7	7
96	23	3	10
97	23	4	5
98	23	0	9
99	23	6	8
100	23	1	10
1	23,35,95,83	2	7
2	23,35,95,83	0	10
3	23,35,95,83	6	5
4	23,35,95,83	0	10
5	23,35,95,83	4	5
6	23,35,95,83	0	11
7	23,35,95,83	2	8
8	23,35,95,83	1	10
9	23,35,95,83	0	9
10	23,35,95,83	0	10
11	23,35,95,83	2	10
12	23,35,95,83	1	8
13	23,35,95,83	7	3
14	23,35,95,83	1	9
15	23,35,95,83	3	6
16	23,35,95,83	1	9
17	23,35,95,83	6	8
18	23,35,95,83	0	9
19	23,35,95,83	2	7
20	23,35,95,83	2	8
21	23,35,95,83	4	6
22	23,35,95,83	0	9
23	23,35,95,83	8	3
24	23,35,95,83	0	9
25	23,35,95,83	8	2
26	23,35,95,83	1	8
27	23,35,95,83	3	7
28	23,35,95,83	1	8
29	23,35,95,83	3	7
30	23,35,95,83	2	8
31	23,35,95,83	2	7
32	23,35,95,83	2	7
33	23,35,95,83	7	2
34	23,35,95,83	0	10
35	23,35,95,83	5	4
36	23,35,95,83	2	11
37	23,35,95,83	2	8
38	23,35,95,83	3	6
39	23,35,95,83	3	6
40	23,35,95,83	1	9
41	23,35,95,83	3	7
42	23,35,95,83	4	7
43	23,35,95,83	6	5
44	23,35,95,83	2	7
45	23,35,95,83	6	5
46	23,35,95,83	1	9
47	23,35,95,83	4	7
48	23,35,95,83	1	8
49	23,35,95,83	3	9
50	23,35,95,83	2	7
51	23,35,95,83	7	4
52	23,35,95,83	5	8
53	23,35,95,83	5	5
54	23,35,95,83	1	10
55	23,35,95,83	5	4
56	23,35,95,83	5	5
57	23,35,95,83	3	7
58	23,35,95,83	2	9
59	23,35,95,83	4	6
60	23,35,95,83	3	10
61	23,35,95,83	6	3
62	23,35,95,83	0	11
63	23,35,95,83	7	2
64	23,35,95,83	0	9
65	23,35,95,83	6	4
66	23,35,95,83	1	8
67	23,35,95,83	6	3
68	23,35,95,83	3	6
69	23,35,95,83	3	7
70	23,35,95,83	0	9
71	23,35,95,83	3	6
72	23,35,95,83	0	9
73	23,35,95,83	3	6
74	23,35,95,83	3	10
75	23,35,95,83	4	5
76	23,35,95,83	2	7
77	23,35,95,83	4	5
78	23,35,95,83	3	7
79	23,35,95,83	5	5
80	23,35,95,83	0	9
81	23,35,95,83	2	8
82	23,35,95,83	1	8
83	23,35,95,83	6	4
84	23,35,95,83	1	9
85	23,35,95,83	6	4
86	23,35,95,83	1	8
87	23,35,95,83	3	8
88	23,35,95,83	2	7
89	23,35,95,83	3	7
90	23,35,95,83	1	8
91	23,35,95,83	2	7
92	23,35,95,83	2	7
93	23,35,95,83	5	4
94	23,35,95,83	1	10
95	23,35,95,83	6	5
96	23,35,95,83	0	10
97	23,35,95,83	2	7
98	23,35,95,83	0	10
99	23,35,95,83	0	9
100	23,35,95,83	0	9
1	23,62,98	1	8
2	23,62,98	5	8
3	23,62,98	2	7
4	23,62,98	3	7
5	23,62,98	0	12
6	23,62,98	3	7
7	23,62,98	2	7
8	23,62,98	5	5
9	23,62,98	2	10
10	23,62,98	2	8
11	23,62,98	1	10
12	23,62,98	3	8
13	23,62,98	3	8
14	23,62,98	3	9
15	23,62,98	6	3
16	23,62,98	1	8
17	23,62,98	2	9
18	23,62,98	3	7
19	23,62,98	4	5
20	23,62,98	3	7
21	23,62,98	0	10
22	23,62,98	5	4
23	23,62,98	3	8
24	23,62,98	6	4
25	23,62,98	4	5
26	23,62,98	7	4
27	23,62,98	4	8
28	23,62,98	3	6
29	23,62,98	3	7
30	23,62,98	6	3
31	23,62,98	4	5
32	23,62,98	6	3
33	23,62,98	6	3
34	23,62,98	6	6
35	23,62,98	4	6
36	23,62,98	4	6
37	23,62,98	5	4
38	23,62,98	7	2
39	23,62,98	6	9
40	23,62,98	5	4
41	23,62,98	5	4
42	23,62,98	9	1
43	23,62,98	3	7
44	23,62,98	8	4
45	23,62,98	4	5
46	23,62,98	7	5
47	23,62,98	4	6
48	23,62,98	4	5
49	23,62,98	3	8
50	23,62,98	3	7
51	23,62,98	4	5
52	23,62,98	4	6
53	23,62,98	5	4
54	23,62,98	6	6
55	23,62,98	6	3
56	23,62,98	5	6
57	23,62,98	8	5
58	23,62,98	8	1
59	23,62,98	6	4
60	23,62,98	4	7
61	23,62,98	6	5
62	23,62,98	6	6
63	23,62,98	4	6
64	23,62,98	4	5
65	23,62,98	6	7
66	23,62,98	6	5
67	23,62,98	5	7
68	23,62,98	5	4
69	23,62,98	4	9
70	23,62,98	6	6
71	23,62,98	3	7
72	23,62,98	2	7
73	23,62,98	3	6
74	23,62,98	5	4
75	23,62,98	6	4
76	23,62,98	3	6
77	23,62,98	3	7
78	23,62,98	7	5
79	23,62,98	6	7
80	23,62,98	8	1
81	23,62,98	5	7
82	23,62,98	5	5
83	23,62,98	6	3
84	23,62,98	4	5
85	23,62,98	3	7
86	23,62,98	7	3
87	23,62,98	4	6
88	23,62,98	5	5
89	23,62,98	5	4
90	23,62,98	3	6
91	23,62,98	6	3
92	23,62,98	3	6
93	23,62,98	3	6
94	23,62,98	6	3
95	23,62,98	4	5
96	23,62,98	6	4
97	23,62,98	5	4
98	23,62,98	8	6
99	23,62,98	5	5
100	23,62,98	1	8
1	23,80	5	7
2	23,80	4	7
3	23,80	4	9
4	23,80	2	11
5	23,80	3	12
6	23,80	1	9
7	23,80	4	6
8	23,80	3	10
9	23,80	2	9
10	23,80	1	9
11	23,80	5	6
12	23,80	4	8
13	23,80	5	6
14	23,80	2	8
15	23,80	4	5
16	23,80	2	7
17	23,80	3	7
18	23,80	2	7
19	23,80	7	8
20	23,80	5	6
21	23,80	4	5
22	23,80	3	6
23	23,80	7	4
24	23,80	5	8
25	23,80	5	6
26	23,80	4	7
27	23,80	3	6
28	23,80	3	8
29	23,80	2	10
30	23,80	6	5
31	23,80	5	4
32	23,80	3	9
33	23,80	4	8
34	23,80	3	9
35	23,80	4	7
36	23,80	5	8
37	23,80	2	9
38	23,80	5	6
39	23,80	6	8
40	23,80	9	4
41	23,80	4	5
42	23,80	2	8
43	23,80	6	4
44	23,80	1	9
45	23,80	4	6
46	23,80	2	7
47	23,80	7	4
48	23,80	4	8
49	23,80	7	7
50	23,80	4	6
51	23,80	6	5
52	23,80	4	5
53	23,80	5	4
54	23,80	0	9
55	23,80	7	5
56	23,80	7	8
57	23,80	6	3
58	23,80	5	8
59	23,80	4	5
60	23,80	3	6
61	23,80	8	6
62	23,80	5	9
63	23,80	5	7
64	23,80	4	7
65	23,80	5	5
66	23,80	4	7
67	23,80	4	5
68	23,80	3	7
69	23,80	6	7
70	23,80	3	6
71	23,80	3	8
72	23,80	6	6
73	23,80	7	5
74	23,80	3	6
75	23,80	3	8
76	23,80	2	8
77	23,80	7	8
78	23,80	4	9
79	23,80	4	7
80	23,80	8	3
81	23,80	5	4
82	23,80	4	7
83	23,80	5	5
84	23,80	3	6
85	23,80	4	7
86	23,80	6	5
87	23,80	6	3
88	23,80	8	7
89	23,80	5	6
90	23,80	6	7
